ServiceNo,Operator,Category,OriginCode,DestinationCode
26,SBST,TRUNK,84009,52009
26,SBST,TRUNK,52009,84009
261,SBST,FEEDER,54009,54009
262,SBST,FEEDER,54009,54009
265,SBST,FEEDER,55009,55009
268,SBST,FEEDER,55009,55009
268A,SBST,FEEDER,55009,54659
268B,SBST,FEEDER,55309,54261
268C,SBST,FEEDER,54269,55301
269,SBST,FEEDER,54009,54009
269A,SBST,FEEDER,54009,55169
27,SBST,TRUNK,64009,64009
272,SBST,FEEDER,10009,10009
273,SBST,FEEDER,10009,10009
27A,SBST,TRUNK,67261,76139
28,SBST,TRUNK,75009,52009
28,SBST,TRUNK,52009,75009
29,SBST,TRUNK,75009,75009
291,SBST,FEEDER,75009,75009
292,SBST,FEEDER,75009,75009
293,SBST,FEEDER,75009,75009
296,SBST,FEEDER,75009,75009
298,SBST,FEEDER,74009,74009
29A,SBST,TRUNK,75009,76241
30,SBST,TRUNK,84009,22009
30,SBST,TRUNK,22009,84009
30e,SBST,EXPRESS,84009,16061
30e,SBST,EXPRESS,16069,84009
31,SBST,TRUNK,75009,52009
31,SBST,TRUNK,52009,75009
315,SBST,FEEDER,66009,66009
317,SBST,FEEDER,66009,66009
31A,SBST,TRUNK,75009,85099
32,SBST,TRUNK,84009,11379
32,SBST,TRUNK,11379,84009
324,SBST,FEEDER,64009,64009
325,SBST,FEEDER,64009,64009
329,SBST,FEEDER,64009,64009
33,SBST,TRUNK,84009,16009
33,SBST,TRUNK,16009,84009
33A,SBST,TRUNK,16009,10149
33B,SBST,TRUNK,84009,81179
35,SBST,TRUNK,84009,84009
35M,SBST,TRUNK,84009,84009
37,SBST,TRUNK,75009,75009
371,SBST,FEEDER,67009,67009
372,SBST,FEEDER,67009,67009
374,SBST,FEEDER,67759,67759
38,SBST,TRUNK,75009,84009
38,SBST,TRUNK,84009,75009
39,SBST,TRUNK,75019,59009
39,SBST,TRUNK,59009,75019
39A,SBST,TRUNK,77031,68119
39B,SBST,TRUNK,65439,77039
4,SBST,TRUNK,75009,75009
40,SBST,TRUNK,84009,84009
400,SBST,TRUNK,03239,03239
401,SBST,TRUNK,84009,84009
410G,SBST,FEEDER,53009,53009
410W,SBST,FEEDER,53009,53009
42,SBST,TRUNK,83321,83321
45,SBST,TRUNK,94009,55009
45,SBST,TRUNK,55009,94009
45A,SBST,TRUNK,63291,62139
46,SBST,TRUNK,94009,77009
46,SBST,TRUNK,77009,94009
47,SBST,TRUNK,97009,97009
48,SBST,TRUNK,84299,11379
48,SBST,TRUNK,11379,84299
5,SBST,TRUNK,77009,10009
5,SBST,TRUNK,10009,77009
50,SBST,TRUNK,53009,65009
50,SBST,TRUNK,65009,53009
506,SBST,EXPRESS,28009,66009
506,SBST,EXPRESS,66009,28009
51,SBST,TRUNK,64009,28009
51,SBST,TRUNK,28009,64009
513,SBST,EXPRESS,75129,03218
513,SBST,EXPRESS,03222,75121
51A,SBST,TRUNK,28009,20191
52,SBST,TRUNK,53009,28009
52,SBST,TRUNK,28009,53009
53,SBST,TRUNK,53009,53009
53A,SBST,TRUNK,77289,95129
53M,SBST,TRUNK,63261,63269
54,SBST,TRUNK,53009,10499
54,SBST,TRUNK,10499,53009
55,SBST,TRUNK,53009,94009
55,SBST,TRUNK,94009,53009
55B,SBST,TRUNK,53009,54381
56,SBST,TRUNK,53009,02089
56,SBST,TRUNK,02101,53009
57,SBST,TRUNK,53009,10009
57,SBST,TRUNK,10009,53009
58,SBST,TRUNK,53009,77009
58,SBST,TRUNK,77009,53009
58A,SBST,TRUNK,62131,75351
58B,SBST,TRUNK,77009,70281
59,SBST,TRUNK,53009,99009
59,SBST,TRUNK,99009,53009
5A,SBST,TRUNK,98319,96049
5B,SBST,TRUNK,96169,98311
60,SBST,TRUNK,82009,82009
60A,SBST,TRUNK,82009,84511
60T,SBST,TRUNK,82009,84009
63,SBST,TRUNK,82009,82009
63A,SBST,TRUNK,82009,10599
63M,SBST,TRUNK,82009,82009
64,SBST,TRUNK,80289,80289
65,SBST,TRUNK,75009,14009
65,SBST,TRUNK,14009,75009
652,SBST,CITY_LINK,56021,03218
652,SBST,CITY_LINK,03241,56029
654,SBST,CITY_LINK,67319,03218
654,SBST,CITY_LINK,03241,67311
655,SBST,CITY_LINK,20129,03391
655,SBST,CITY_LINK,03539,20121
660,SBST,CITY_LINK,66481,03218
660,SBST,CITY_LINK,03241,66489
667,SBST,CITY_LINK,17201,03391
667,SBST,CITY_LINK,03539,17201
668,SBST,CITY_LINK,54469,03391
668,SBST,CITY_LINK,03539,54461
671,SBST,CITY_LINK,65011,03391
671,SBST,CITY_LINK,03539,65019
672,SBST,CITY_LINK,64431,03391
672,SBST,CITY_LINK,03539,64561
69,SBST,TRUNK,75009,75009
7,SBST,TRUNK,84009,17009
7,SBST,TRUNK,17009,84009
70,SBST,TRUNK,55509,03239
70,SBST,TRUNK,03239,55509
70A,SBST,TRUNK,55509,02171
70B,SBST,TRUNK,55101,66359
70M,SBST,TRUNK,55509,55509
71,SBST,TRUNK,55509,55509
72,SBST,TRUNK,55509,75009
72,SBST,TRUNK,75009,55509
72A,SBST,TRUNK,55509,64549
72B,SBST,TRUNK,55509,54481
73,SBST,TRUNK,54009,54009
73T,SBST,TRUNK,54009,52009
74,SBST,TRUNK,64009,11379
