,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
166,153,SBST,1,TRUNK,10009,64009,14-14,11-15,09-11,15-18,
167,153,SBST,2,TRUNK,64009,10009,10-15,13-16,13-14,17-18,
168,154,SBST,1,TRUNK,22009,82009,05-10,06-11,07-10,11-17,
169,154,SBST,2,TRUNK,82009,22009,11-13,06-13,08-11,11-15,
170,154A,SBST,1,TRUNK,21551,28091,19-22,-,-,-,
171,154B,SBST,1,TRUNK,22009,12101,11-19,-,-,-,
172,155,SBST,1,TRUNK,52009,84009,10-15,09-16,15-17,14-17,
173,155,SBST,2,TRUNK,84009,52009,10-13,09-18,10-15,15-18,
174,156,SBST,1,TRUNK,67009,17009,10-15,10-18,11-16,14-22,
175,156,SBST,2,TRUNK,17009,67009,12-14,10-18,12-18,15-23,
176,157,SBST,1,TRUNK,52009,22009,10-11,08-14,07-10,12-15,
177,157,SBST,2,TRUNK,22009,52009,08-13,07-14,08-11,11-13,
178,158,SBST,1,TRUNK,66009,66009,12-15,12-17,13-15,16-24,Rhu Cross
179,158A,SBST,1,TRUNK,81089,81081,26-26,-,-,-,Rhu Cross
180,159,SBST,1,TRUNK,67009,52009,10-12,06-12,09-11,09-16,
181,159,SBST,2,TRUNK,52009,67009,12-14,09-13,05-11,10-16,
182,159A,SBST,1,TRUNK,67009,54399,11-23,14-17,-,-,
183,159B,SBST,1,TRUNK,54391,54481,06-53,-,-,-,
184,16,SBST,1,TRUNK,84009,10009,17-18,09-26,10-12,11-13,
185,16,SBST,2,TRUNK,10009,84009,08-12,19-26,07-13,10-13,
186,160,SBST,1,TRUNK,29009,29009,15-20,12-20,14-15,15-20,Jln Jim Quee
187,160A,SBST,1,TRUNK,29009,43671,09-49,05-44,12-19,16-51,
188,161,SBST,1,TRUNK,64009,46009,05-10,07-13,08-09,09-14,
189,161,SBST,2,TRUNK,46009,64009,06-10,08-13,06-08,07-13,
190,162,SBST,1,TRUNK,55509,55509,11-11,14-17,15-15,15-22,Sin Ming Dr
191,162,SBST,2,TRUNK,,,13-14,14-17,15-18,18-18,Sin Ming Dr
192,163,SBST,1,TRUNK,67009,52009,13-15,12-15,13-18,14-16,
193,163,SBST,2,TRUNK,52009,67009,14-14,12-16,12-15,13-17,
194,163A,SBST,1,TRUNK,67009,67651,-,-,-,16-17,
195,163B,SBST,1,TRUNK,67009,55039,66-66,-,-,-,
196,165,SBST,1,TRUNK,64009,17009,09-12,11-14,12-13,12-16,
197,165,SBST,2,TRUNK,17009,64009,10-11,11-14,10-13,13-16,
198,166,SBST,1,TRUNK,54009,17009,09-10,09-18,10-14,14-18,
199,166,SBST,2,TRUNK,17009,54009,10-12,08-16,11-18,15-19,
200,168,SBST,1,TRUNK,84009,46009,05-07,06-12,05-09,11-13,
201,168,SBST,2,TRUNK,46009,84009,05-07,06-12,07-09,09-13,
202,168A,SBST,1,TRUNK,46009,76149,-,-,14-14,-,
203,16M,SBST,1,TRUNK,84009,10009,17-18,18-26,-,-,
204,16M,SBST,2,TRUNK,10009,84009,-,19-26,-,-,
205,170,SBST,1,TRUNK,01109,46239,15-20,15-20,15-18,18-20,
206,170,SBST,2,TRUNK,46239,01109,15-20,15-20,15-18,20-20,
207,170X,SBST,1,TRUNK,45131,47711,02-09,03-09,05-08,02-11,
208,170X,SBST,2,TRUNK,47711,45139,-,04-09,-,08-11,
209,174,SBST,1,TRUNK,22009,10499,09-10,04-14,08-18,13-18,
210,174,SBST,2,TRUNK,10499,22009,13-15,07-14,13-16,14-16,
211,174e,SBST,1,EXPRESS,22009,10499,13-13,-,-,-,
212,174e,SBST,2,EXPRESS,10499,22009,-,-,13-14,-,
213,175,SBST,1,TRUNK,17009,80009,10-15,10-20,15-20,20-23,
214,175,SBST,2,TRUNK,80009,17009,11-12,12-19,11-20,19-22,
215,18,SBST,1,TRUNK,74009,84299,07-16,15-16,15-16,16-25,
216,18,SBST,2,TRUNK,84299,74009,12-15,12-16,14-15,15-22,
217,186,SBST,1,TRUNK,03239,52499,15-17,11-18,11-14,11-22,
218,186,SBST,2,TRUNK,52499,03239,09-14,12-18,13-18,17-25,
219,19,SBST,1,TRUNK,75009,75009,06-07,07-16,06-09,09-14,Airport Cargo Rd
220,191,SBST,1,TRUNK,11379,11379,15-20,15-20,15-15,20-20,Portsdown Rd
221,195,SBST,1,TRUNK,02101,02089,10-15,09-16,10-15,14-15,C'wealth Ave
222,195A,SBST,1,TRUNK,02101,10169,-,10-10,-,-,C'wealth Ave
223,196,SBST,1,TRUNK,84009,17009,07-08,07-13,10-14,13-23,
224,196,SBST,2,TRUNK,17009,84009,11-13,05-12,08-10,11-24,
225,196A,SBST,1,TRUNK,84009,03218,-,-,-,-,
226,196e,SBST,1,EXPRESS,93049,03218,08-08,-,-,-,
227,196e,SBST,2,EXPRESS,03222,93041,-,-,08-08,-,
228,197,SBST,1,TRUNK,84009,28009,11-12,11-18,13-15,14-16,
229,197,SBST,2,TRUNK,28009,84009,09-13,11-14,10-14,13-16,
230,198,SBST,1,TRUNK,22009,10009,05-06,08-12,08-09,05-15,
231,198,SBST,2,TRUNK,10009,22009,07-08,05-12,07-10,11-16,
232,198A,SBST,1,TRUNK,22009,28459,-,-,08-17,08-18,
233,20,SBST,1,TRUNK,75009,75009,09-10,10-16,09-13,13-22,Changi Business Pk Ave 3
234,200,SBST,1,TRUNK,11379,11379,10-11,09-17,10-12,16-23,Clementi Rd
235,200A,SBST,1,TRUNK,11379,16009,-,-,-,-,Clementi Rd
236,201,SBST,1,TRUNK,16009,16009,09-11,08-13,10-13,10-14,Pandan Gdns
237,20A,SBST,1,TRUNK,96139,96301,39-39,-,-,-,Changi Business Pk Ave 3
238,21,SBST,1,TRUNK,77009,52499,07-12,11-14,12-16,14-16,
239,21,SBST,2,TRUNK,52499,77009,10-13,08-14,08-16,12-16,
240,21A,SBST,1,TRUNK,80089,07231,-,-,09-22,-,
241,22,SBST,1,TRUNK,54009,82009,09-10,09-15,09-10,12-22,
242,22,SBST,2,TRUNK,82009,54009,09-10,09-16,09-10,09-25,
243,222,SBST,1,FEEDER,84009,84009,04-06,04-10,05-06,08-14,Chai Chee Dr
244,222A,SBST,1,FEEDER,84009,84039,25-25,-,-,-,
245,222B,SBST,1,FEEDER,84039,84031,35-40,-,36-36,48-48,Chai Chee Dr
246,225G,SBST,1,FEEDER,84009,84009,03-05,03-12,03-06,04-12,Bedok Nth St 3
247,225W,SBST,1,FEEDER,84009,84009,05-06,04-09,04-07,04-10,Bedok Nth St 3
248,228,SBST,1,FEEDER,84009,84009,07-09,07-13,08-08,08-19,Bedok Reservoir Rd
249,229,SBST,1,FEEDER,84009,84009,08-09,07-14,08-08,07-16,Bedok Sth Rd
250,23,SBST,1,TRUNK,75009,75009,06-07,06-12,07-09,09-16,Rochor Canal Rd
251,230,SBST,1,FEEDER,52009,52009,10-10,12-12,10-12,10-15,Toa Payoh East
252,231,SBST,1,FEEDER,52009,52009,07-08,07-13,07-08,07-11,Lor 5 Toa Payoh
253,232,SBST,1,FEEDER,52009,52009,05-06,05-09,05-06,06-11,Toa Payoh East
254,235,SBST,1,FEEDER,52009,52009,04-07,04-10,05-06,06-12,Toa Payoh Lk
255,238,SBST,1,FEEDER,52009,52009,03-05,03-06,02-06,03-06,Lor 8 Toa Payoh
256,24,SBST,1,TRUNK,54009,54009,08-09,09-12,07-12,12-15,PTB2 Basement
257,25,SBST,1,TRUNK,54009,94009,05-06,05-12,05-10,10-17,
258,25,SBST,2,TRUNK,94009,54009,05-06,04-12,05-08,06-15,
259,26,SBST,1,TRUNK,84009,52009,08-10,09-13,09-11,10-12,
260,26,SBST,2,TRUNK,52009,84009,08-10,09-13,10-12,11-13,
261,261,SBST,1,FEEDER,54009,54009,03-05,05-07,04-07,05-09,Ang Mo Kio Ave 10
262,262,SBST,1,FEEDER,54009,54009,07-15,09-24,07-19,08-16,Ang Mo Kio Ave 2
263,265,SBST,1,FEEDER,55009,55009,05-07,05-11,05-07,06-13,Ang Mo Kio Ave 10
264,268,SBST,1,FEEDER,55009,55009,06-08,07-13,07-08,07-14,Ang Mo Kio Ave 5
265,268A,SBST,1,FEEDER,55009,54659,27-32,-,-,-,Ang Mo Kio Ave 5
266,268B,SBST,1,FEEDER,55309,54261,14-24,-,41-41,-,
267,268C,SBST,1,FEEDER,54269,55301,36-38,-,34-38,-,
268,269,SBST,1,FEEDER,54009,54009,04-06,04-08,03-06,03-14,Ang Mo Kio St 61
269,269A,SBST,1,FEEDER,54009,55169,-,19-20,19-48,10-50,Ang Mo Kio St 61
270,27,SBST,1,TRUNK,64009,64009,06-07,06-08,06-11,09-11,PTB2 Basement
271,272,SBST,1,FEEDER,10009,10009,06-08,07-12,07-09,08-11,Telok Blangah Rise
272,273,SBST,1,FEEDER,10009,10009,06-09,07-11,07-10,07-12,Henderson Rd
273,27A,SBST,1,TRUNK,67261,76139,02-11,02-12,-,-,
274,28,SBST,1,TRUNK,75009,52009,09-12,07-14,13-14,13-14,
275,28,SBST,2,TRUNK,52009,75009,11-12,09-15,08-11,12-17,
276,29,SBST,1,TRUNK,75009,75009,09-11,09-15,09-10,10-16,Changi Village Rd
277,291,SBST,1,FEEDER,75009,75009,03-05,03-07,03-06,05-12,Tampines St 81
278,292,SBST,1,FEEDER,75009,75009,06-08,10-15,06-07,10-14,Tampines St 22
279,293,SBST,1,FEEDER,75009,75009,04-06,03-08,04-07,05-20,Tampines St 71
280,296,SBST,1,FEEDER,75009,75009,10-10,15-15,09-15,10-17,Tampines Nth Dr 2
281,298,SBST,1,FEEDER,74009,74009,10-12,10-13,10-13,10-16,Tampines Ave 5
282,29A,SBST,1,TRUNK,75009,76241,-,-,30-39,30-30,
283,30,SBST,1,TRUNK,84009,22009,09-09,09-17,10-16,15-17,
284,30,SBST,2,TRUNK,22009,84009,10-10,08-16,07-10,11-19,
285,30e,SBST,1,EXPRESS,84009,16061,12-12,-,-,-,
286,30e,SBST,2,EXPRESS,16069,84009,-,-,12-12,-,
287,31,SBST,1,TRUNK,75009,52009,07-11,08-16,09-11,14-15,
288,31,SBST,2,TRUNK,52009,75009,08-11,09-15,08-11,14-16,
289,315,SBST,1,FEEDER,66009,66009,04-06,04-10,04-07,05-12,S'goon Nth Ave 5
290,317,SBST,1,FEEDER,66009,66009,07-08,07-11,08-10,08-13,Berwick Dr
291,31A,SBST,1,TRUNK,75009,85099,08-11,10-29,-,-,
292,32,SBST,1,TRUNK,84009,11379,11-16,12-18,14-18,18-19,
293,32,SBST,2,TRUNK,11379,84009,12-13,12-19,12-14,18-25,
294,324,SBST,1,FEEDER,64009,64009,08-10,08-13,08-08,10-14,Upp Serangoon View
295,325,SBST,1,FEEDER,64009,64009,06-08,06-13,06-08,08-20,Hougang St 91
296,329,SBST,1,FEEDER,64009,64009,07-09,11-12,08-12,08-12,Buangkok Cres
297,33,SBST,1,TRUNK,84009,16009,14-15,09-15,15-15,14-17,
298,33,SBST,2,TRUNK,16009,84009,12-14,10-18,10-11,12-16,
299,33A,SBST,1,TRUNK,16009,10149,-,24-24,-,-,
300,33B,SBST,1,TRUNK,84009,81179,45-45,-,-,-,
301,35,SBST,1,TRUNK,84009,84009,10-10,09-15,09-14,15-15,Alps Ave
302,35M,SBST,1,TRUNK,84009,84009,-,-,-,15-24,Tanah Merah Ferry Rd
303,37,SBST,1,TRUNK,75009,75009,05-08,05-16,09-12,12-12,Changi Nth Cres
304,371,SBST,1,FEEDER,67009,67009,07-08,10-11,06-11,08-11,Rivervale Cres
305,372,SBST,1,FEEDER,67009,67009,04-06,04-11,05-08,05-11,Punggol Rd
306,374,SBST,1,FEEDER,67759,67759,11-11,11-12,11-12,11-15,Fernvale Rd
307,38,SBST,1,TRUNK,75009,84009,08-10,09-15,09-15,14-15,
308,38,SBST,2,TRUNK,84009,75009,09-10,09-15,09-10,13-15,
309,39,SBST,1,TRUNK,75019,59009,08-13,11-15,10-17,15-17,
310,39,SBST,2,TRUNK,59009,75019,09-12,08-15,09-10,13-16,
311,39A,SBST,1,TRUNK,77031,68119,-,-,21-31,-,
312,39B,SBST,1,TRUNK,65439,77039,-,-,-,-,
313,4,SBST,1,TRUNK,75009,75009,10-12,10-13,10-14,10-13,Changi Nth Way
314,40,SBST,1,TRUNK,84009,84009,13-14,13-18,15-18,18-23,Merpati Rd
315,400,SBST,1,TRUNK,03239,03239,30-30,30-30,20-30,30-30,Marina Coastal Dr
316,401,SBST,1,TRUNK,84009,84009,-,20-20,20-20,20-20,Fort Rd
317,410G,SBST,1,FEEDER,53009,53009,04-06,05-12,06-06,06-14,Shunfu Rd
318,410W,SBST,1,FEEDER,53009,53009,05-06,05-10,04-05,04-12,Shunfu Rd
319,42,SBST,1,TRUNK,83321,83321,10-12,10-14,11-14,10-13,Fidelio St
320,45,SBST,1,TRUNK,94009,55009,08-14,10-17,10-11,11-18,
321,45,SBST,2,TRUNK,55009,94009,11-14,08-17,09-12,12-18,
322,45A,SBST,1,TRUNK,63291,62139,06-18,-,-,-,
323,46,SBST,1,TRUNK,94009,77009,12-12,12-15,12-13,13-25,
324,46,SBST,2,TRUNK,77009,94009,11-12,14-15,11-12,15-22,
325,47,SBST,1,TRUNK,97009,97009,09-10,09-15,10-10,14-15,Amber Rd
326,48,SBST,1,TRUNK,84299,11379,07-09,08-17,12-13,13-18,
327,48,SBST,2,TRUNK,11379,84299,09-12,09-16,08-18,15-18,
328,5,SBST,1,TRUNK,77009,10009,07-12,10-17,13-14,15-18,
329,5,SBST,2,TRUNK,10009,77009,10-11,09-17,09-17,14-17,
330,50,SBST,1,TRUNK,53009,65009,10-11,10-14,14-15,13-14,
331,50,SBST,2,TRUNK,65009,53009,10-14,11-14,14-14,13-14,
332,506,SBST,1,EXPRESS,28009,66009,14-15,16-21,16-24,21-24,
333,506,SBST,2,EXPRESS,66009,28009,16-23,15-21,18-18,16-20,
334,51,SBST,1,TRUNK,64009,28009,10-12,08-17,13-16,13-16,
